iter	Passed	Remaining
0	144	144054
1	150	74890
2	154	51381
3	159	39591
4	164	32744
5	168	27976
6	173	24619
7	178	22161
8	183	20168
9	186	18471
10	191	17246
11	196	16165
12	200	15248
13	205	14483
14	210	13805
15	214	13180
16	218	12627
17	223	12191
18	227	11729
19	230	11314
20	235	10972
21	240	10672
22	243	10356
23	247	10068
24	252	9852
25	256	9604
26	260	9371
27	264	9172
28	269	9013
29	273	8839
30	277	8660
31	281	8511
32	285	8379
33	289	8238
34	294	8108
35	298	8004
36	302	7879
37	306	7759
38	310	7661
39	315	7568
40	319	7476
41	323	7376
42	328	7313
43	332	7229
44	336	7142
45	341	7083
46	345	7010
47	349	6937
48	353	6865
49	360	6857
50	364	6786
51	368	6724
52	374	6686
53	378	6628
54	382	6565
55	386	6520
56	390	6462
57	394	6405
58	398	6349
59	402	6313
60	406	6259
61	410	6208
62	414	6160
63	419	6128
64	422	6083
65	426	6036
66	431	6005
67	434	5951
68	436	5892
69	439	5833
70	441	5775
71	444	5729
72	447	5680
73	449	5620
74	450	5559
75	452	5501
76	454	5444
77	455	5388
78	457	5334
79	460	5292
80	461	5240
81	463	5190
82	464	5131
83	466	5082
84	467	5035
85	469	4988
86	471	4943
87	472	4898
88	475	4868
89	477	4826
90	478	4784
91	480	4741
92	482	4702
93	483	4663
94	485	4625
95	487	4587
96	489	4559
97	491	4524
98	493	4488
99	494	4452
100	496	4418
101	498	4385
102	499	4352
103	501	4320
104	503	4291
105	506	4267
106	507	4238
107	509	4209
108	511	4180
109	513	4150
110	514	4122
111	516	4094
112	518	4071
113	521	4052
114	523	4025
115	524	3999
116	526	3971
117	527	3945
118	529	3921
119	531	3897
120	534	3881
121	537	3869
122	540	3856
123	543	3842
124	547	3831
125	552	3832
126	555	3815
127	558	3806
128	562	3798
129	567	3800
130	571	3794
131	576	3792
132	583	3804
133	588	3803
134	593	3802
135	598	3804
136	603	3799
137	607	3794
138	612	3794
139	616	3789
140	621	3783
141	624	3772
142	629	3772
143	633	3767
144	637	3761
145	643	3765
146	648	3761
147	652	3759
148	658	3763
149	663	3761
150	668	3760
151	674	3764
152	679	3759
153	684	3761
154	690	3762
155	694	3756
156	698	3748
157	703	3748
158	707	3741
159	711	3735
160	715	3727
161	719	3723
162	723	3716
163	728	3714
164	733	3711
165	737	3705
166	741	3698
167	747	3701
168	752	3699
169	757	3699
170	763	3700
171	767	3696
172	772	3690
173	777	3691
174	782	3688
175	786	3683
176	792	3684
177	797	3680
178	801	3675
179	806	3673
180	810	3668
181	814	3662
182	820	3662
183	825	3659
184	829	3654
